District,year,mean
Purba Singhbhum,2012,
Bokaro,2012,
Chatra,2012,
Garhwa,2012,
Giridih,2012,
Hazaribag,2012,
Koderma,2012,
Pakur,2012,
Sahibganj,2012,
Dumka,2012,
Gumla,2012,
Jamtara,2012,
Latehar,2012,
Palamu,2012,
Pashchim Singhbhum,2012,
Seraikela_Kharsawan,2012,
Simdega,2012,
Deoghar,2012,
Godda,2012,
Lohardaga,2012,
Ranchi,2012,
Dhanbad,2012,
Purba Singhbhum,2013,1.604633646516569
Bokaro,2013,1.7613956298497813
Chatra,2013,0.0840955389777872
Garhwa,2013,0.0503932871482154
Giridih,2013,0.326016768059616
Hazaribag,2013,1.017215732578494
Koderma,2013,0.6215660447627585
Pakur,2013,0.2891977136439437
Sahibganj,2013,0.2777213977297987
Dumka,2013,0.1713807455110482
Gumla,2013,0.0558438074185725
Jamtara,2013,0.399069301426193
Latehar,2013,0.0766174191664939
Palamu,2013,0.19845913871811
Pashchim Singhbhum,2013,0.2950942949901547
Seraikela_Kharsawan,2013,0.9370126306570388
Simdega,2013,0.0254368480199478
Deoghar,2013,0.7529888924069484
Godda,2013,0.3076757312010101
Lohardaga,2013,0.2967245496135832
Ranchi,2013,0.7971859494674723
Dhanbad,2013,3.3768181330921
Purba Singhbhum,2014,1.5320856632967474
Bokaro,2014,1.8534472021998911
Chatra,2014,0.0746657316337201
Garhwa,2014,0.0713731862429212
Giridih,2014,0.3506723912760925
Hazaribag,2014,0.9891633867330392
Koderma,2014,0.5990659612470174
Pakur,2014,0.216980716351184
Sahibganj,2014,0.2396863105238089
Dumka,2014,0.1420998116112111
Gumla,2014,0.0562518419568264
Jamtara,2014,0.3449665853349414
Latehar,2014,0.1084431723054866
Palamu,2014,0.2421191612809936
Pashchim Singhbhum,2014,0.2843307492225525
Seraikela_Kharsawan,2014,0.918036699625976
Simdega,2014,0.0275866616818656
Deoghar,2014,0.675828755677596
Godda,2014,0.2792140653850412
Lohardaga,2014,0.3019482938176816
Ranchi,2014,0.7805326851124438
Dhanbad,2014,3.31157837021472
Purba Singhbhum,2015,1.6375909735021092
Bokaro,2015,1.9142412650468072
Chatra,2015,0.0955338409803453
Garhwa,2015,0.0605031039156967
Giridih,2015,0.3470028821439997
Hazaribag,2015,1.1005780218340342
Koderma,2015,0.6670799084173489
Pakur,2015,0.2395210391049571
Sahibganj,2015,0.2895793830695096
Dumka,2015,0.1786138657842198
Gumla,2015,0.0691158312132506
Jamtara,2015,0.3812815748407304
Latehar,2015,0.1119286598307018
Palamu,2015,0.2339060603532672
Pashchim Singhbhum,2015,0.3093514247032081
Seraikela_Kharsawan,2015,1.018007699216566
Simdega,2015,0.0315459100400569
Deoghar,2015,0.7820635630581391
Godda,2015,0.333716831496042
Lohardaga,2015,0.3479861688571418
Ranchi,2015,0.8530940117356602
Dhanbad,2015,3.358573943676528
Purba Singhbhum,2016,1.6672070913342656
Bokaro,2016,1.8475085693597608
Chatra,2016,0.1161811645781348
Garhwa,2016,0.0777474176289261
Giridih,2016,0.3682232308155602
Hazaribag,2016,1.0548895655316035
Koderma,2016,0.64293710731289
Pakur,2016,0.3000207486720136
Sahibganj,2016,0.3765243066134232
Dumka,2016,0.2658873070652871
Gumla,2016,0.0543840769535673
Jamtara,2016,0.5255594322076849
Latehar,2016,0.0980884019232231
Palamu,2016,0.2625196095683924
Pashchim Singhbhum,2016,0.2915167717572366
Seraikela_Kharsawan,2016,0.9418369766917926
Simdega,2016,0.0236483876586062
